time,energy,energy_cumulative,energy_lag,glob_irrad_in_diffuse,glob_irrad_total_disc,dew_point,enth,rel_hum,temp
2022-07-24 05:00:00,1063.0,9106676.0,9105613.0,62.94766501587301,62.94766501587301,16.533333333333335,50.4,,20.028571428571432
2022-07-24 06:00:00,1103.0,9107779.0,9106676.0,169.57745342042756,169.57745342042756,18.387500000000003,55.58,82.2,21.4375
2022-07-24 07:00:00,1075.0,9108854.0,9107779.0,174.43962046460177,174.43962046460177,21.018181818181816,64.91428571428571,80.2,24.408333333333335
2022-07-24 08:00:00,1150.0,9110004.0,9108854.0,160.23826581151832,160.23826581151832,23.076923076923077,72.95294117647059,76.2,27.6
2022-07-24 09:00:00,1227.0,9111231.0,9110004.0,148.0857412544803,148.0857412544803,21.74705882352941,70.34615384615385,69.2,28.1
2022-07-24 10:00:00,1283.0,9112514.0,9111231.0,159.90459451351353,159.90459451351353,21.6,71.54583333333333,62.20000000000001,29.6875
2022-07-24 11:00:00,1323.0,9113837.0,9112514.0,318.0021348509934,318.0021348509934,21.07,71.27777777777777,57.2,30.731818181818188
2022-07-24 12:00:00,1314.0,9115151.0,9113837.0,303.98292340148697,303.98292340148697,19.96,68.71052631578948,52.20000000000001,30.72666666666667
2022-07-24 13:00:00,1327.0,9116478.0,9115151.0,216.32431896358545,216.32431896358545,19.48,67.74799999999999,48.2,31.44
2022-07-24 14:00:00,1351.0,9117829.0,9116478.0,185.23121776699028,185.23121776699028,18.413333333333338,66.18666666666667,45.2,31.71
2022-07-24 15:00:00,1358.0,9119187.0,9117829.0,158.32906808421052,158.32906808421052,16.16111111111111,59.133333333333326,,29.84666666666667
2022-07-24 16:00:00,1355.0,9120542.0,9119187.0,89.96091643086818,89.96091643086818,15.799999999999999,58.099999999999994,,29.1
2022-07-24 17:00:00,1338.0,9121880.0,9120542.0,56.38932356037152,56.38932356037152,15.777777777777779,57.54999999999999,,28.685714285714287
2022-07-24 18:00:00,1335.0,9123215.0,9121880.0,28.758151928251124,28.758151928251124,14.64,53.9,46.2,26.96
2022-07-24 19:00:00,1335.0,9124550.0,9123215.0,7.6554357500000005,7.6554357500000005,13.45,49.9,48.2,25.475
2022-07-24 20:00:00,1299.0,9125849.0,9124550.0,5.425565000000001,5.425565000000001,,48.4,50.2,24.125
2022-07-24 21:00:00,1218.0,9127067.0,9125849.0,5.376196,5.376196,13.15,47.4,53.2,23.15
2022-07-24 22:00:00,1207.0,9128274.0,9127067.0,5.398136666666667,5.398136666666667,13.6,,57.2,22.3
2022-07-24 23:00:00,1151.0,9129425.0,9128274.0,5.4529933333333345,5.4529933333333345,14.0,,61.2,21.6
2022-07-25 00:00:00,1123.0,9130548.0,9129425.0,5.425565000000001,5.425565000000001,14.3,,64.2,21.3
2022-07-25 01:00:00,1107.0,9131655.0,9130548.0,5.34328,5.34328,14.0,46.4,66.2,20.633333333333336
2022-07-25 02:00:00,1083.0,9132738.0,9131655.0,5.425565000000001,5.425565000000001,14.3,45.4,69.2,19.8
2022-07-25 03:00:00,1075.0,9133813.0,9132738.0,6.585007272727274,6.585007272727274,,,72.2,19.3
2022-07-25 04:00:00,1070.0,9134883.0,9133813.0,22.51057889380531,22.51057889380531,15.125000000000002,47.4,74.2,19.900000000000002
2022-07-25 05:00:00,1247.0,9136130.0,9134883.0,66.72361893203883,66.72361893203883,16.619999999999997,51.42,,21.240000000000002
2022-07-25 06:00:00,1591.0,9137721.0,9136130.0,87.42527145772594,87.42527145772594,19.499999999999996,60.611111111111114,,24.208333333333332
2022-07-25 07:00:00,1974.0,9139695.0,9137721.0,112.19590953703704,112.19590953703704,21.5875,68.15714285714286,70.2,27.2
2022-07-25 08:00:00,2309.0,9142004.0,9139695.0,121.3145999317406,121.3145999317406,21.54666666666667,70.52727272727272,65.2,28.95714285714286
2022-07-25 09:00:00,2482.0,9144486.0,9142004.0,114.90984607843136,114.90984607843136,20.788235294117648,69.5142857142857,60.20000000000001,29.711111111111116
2022-07-25 10:00:00,2318.0,9146804.0,9144486.0,114.46112362264152,114.46112362264152,20.1,68.4391304347826,55.2,30.26666666666667
2022-07-25 11:00:00,2485.0,9149289.0,9146804.0,127.466642,127.466642,19.886666666666667,68.74285714285715,51.2,31.164705882352937
2022-07-25 12:00:00,2657.0,9151946.0,9149289.0,125.44774893835616,125.44774893835616,20.447619047619046,71.71428571428571,48.2,32.82272727272728
2022-07-25 13:00:00,2510.0,9154456.0,9151946.0,119.83353811074919,119.83353811074919,19.575000000000003,70.28846153846153,46.2,33.00000000000001
2022-07-25 14:00:00,2461.0,9156917.0,9154456.0,113.64105074433657,113.64105074433657,19.064285714285713,69.03809523809522,44.2,33.30833333333333
2022-07-25 15:00:00,2050.0,9158967.0,9156917.0,111.82728159374999,111.82728159374999,18.746666666666666,68.12,42.2,33.65
2022-07-25 16:00:00,1735.0,9160702.0,9158967.0,114.81662296398892,114.81662296398892,17.71818181818182,65.6125,,32.728571428571435
2022-07-25 17:00:00,1694.0,9162396.0,9160702.0,60.86536752808989,60.86536752808989,16.883333333333333,63.43636363636363,40.2,32.1
2022-07-25 18:00:00,1754.0,9164150.0,9162396.0,9.544969787234043,9.544969787234043,14.975000000000001,57.5,,29.8
2022-07-25 19:00:00,1702.0,9165852.0,9164150.0,6.838284929577465,6.838284929577465,14.1,54.0,43.2,27.96
2022-07-25 20:00:00,1535.0,9167387.0,9165852.0,5.4529933333333345,5.4529933333333345,13.8,51.0,46.2,26.3
2022-07-25 21:00:00,1466.0,9168853.0,9167387.0,5.34328,5.34328,14.8,52.5,50.20000000000001,25.9
2022-07-25 22:00:00,1415.0,9170268.0,9168853.0,5.50785,5.50785,15.3,53.0,54.2,25.15
2022-07-25 23:00:00,1407.0,9171675.0,9170268.0,5.4529933333333345,5.4529933333333345,15.8,,57.2,24.6
2022-07-26 00:00:00,1402.0,9173077.0,9171675.0,5.398136666666667,5.398136666666667,16.76,56.0,60.2,25.000000000000004
2022-07-26 01:00:00,1407.0,9174484.0,9173077.0,6.307171428571428,6.307171428571428,16.65,55.5,,24.95
2022-07-26 02:00:00,1366.0,9175850.0,9174484.0,14.303470263157896,14.303470263157896,16.099999999999998,53.5,62.2,23.900000000000002
2022-07-26 03:00:00,1327.0,9177177.0,9175850.0,6.00155,6.00155,15.950000000000001,53.5,,23.9
2022-07-26 04:00:00,1339.0,9178516.0,9177177.0,25.870325625000003,25.870325625000003,15.5,52.5,60.2,
2022-07-26 05:00:00,1494.0,9180010.0,9178516.0,80.49088709401708,80.49088709401708,15.8,,,24.2
2022-07-26 06:00:00,1814.0,9181824.0,9180010.0,35.276108693467336,35.276108693467336,15.3,51.5,58.2,23.9
2022-07-26 07:00:00,1975.0,9183799.0,9181824.0,77.59841060836501,77.59841060836501,14.8,,,
2022-07-26 08:00:00,2361.0,9186160.0,9183799.0,60.00011479508196,60.00011479508196,14.5,50.5,56.2,
2022-07-26 09:00:00,2474.0,9188634.0,9186160.0,132.12050345303868,132.12050345303868,14.95,51.5,,24.4
2022-07-26 10:00:00,2345.0,9190979.0,9188634.0,255.2176645597484,255.2176645597484,14.8,51.574999999999996,,24.419999999999998
2022-07-26 11:00:00,2354.0,9193333.0,9190979.0,354.8501410687023,354.8501410687023,15.772727272727273,54.70769230769231,,25.330000000000002
2022-07-26 12:00:00,2314.0,9195647.0,9193333.0,410.420164,410.420164,17.36,59.13125,,27.061538461538458
2022-07-26 13:00:00,2649.0,9198296.0,9195647.0,302.8683945723684,302.8683945723684,18.17142857142857,61.85454545454545,54.2,28.406666666666663
2022-07-26 14:00:00,2398.0,9200694.0,9198296.0,165.48157043367348,165.48157043367348,18.094736842105263,62.31538461538461,51.2,29.159999999999997
2022-07-26 15:00:00,2321.0,9203015.0,9200694.0,149.09593024258757,149.09593024258757,17.353846153846156,61.54666666666667,48.2,29.64117647058824
2022-07-26 16:00:00,1838.0,9204853.0,9203015.0,102.11385316860465,102.11385316860465,14.700000000000001,55.16363636363636,,27.24615384615385
2022-07-26 17:00:00,1823.0,9206676.0,9204853.0,40.5829931097561,40.5829931097561,12.299999999999999,46.86,,23.8
2022-07-26 18:00:00,1662.0,9208338.0,9206676.0,24.818672328042325,24.818672328042325,12.466666666666667,45.875,51.2,22.3
2022-07-26 19:00:00,1518.0,9209856.0,9208338.0,7.602326363636363,7.602326363636363,12.45,43.9,56.20000000000001,21.450000000000003
2022-07-26 20:00:00,1255.0,9211111.0,9209856.0,6.368656923076923,6.368656923076923,13.566666666666668,46.15714285714286,61.2,21.116666666666667
2022-07-26 21:00:00,1187.0,9212298.0,9211111.0,5.540764,5.540764,13.466666666666667,44.55999999999999,64.2,20.125
2022-07-26 22:00:00,1143.0,9213441.0,9212298.0,5.425565000000001,5.425565000000001,13.3,,67.2,19.3
2022-07-26 23:00:00,1183.0,9214624.0,9213441.0,5.425565000000001,5.425565000000001,13.6,,71.2,19.0
2022-07-27 00:00:00,1147.0,9215771.0,9214624.0,5.425565000000001,5.425565000000001,14.15,44.366666666666674,74.2,18.7
2022-07-27 01:00:00,1138.0,9216909.0,9215771.0,,,14.45,,76.2,18.65
2022-07-27 02:00:00,1175.0,9218084.0,9216909.0,5.425565000000001,5.425565000000001,14.8,45.7,78.2,18.9
2022-07-27 03:00:00,1151.0,9219235.0,9218084.0,5.606588,5.606588,15.3,46.7,,18.75
2022-07-27 04:00:00,1175.0,9220410.0,9219235.0,22.13151242424243,22.13151242424243,14.98,45.366666666666674,,18.450000000000003
2022-07-27 05:00:00,1374.0,9221784.0,9220410.0,45.668271373801915,45.668271373801915,15.8,47.199999999999996,80.2,19.240000000000002
2022-07-27 06:00:00,1507.0,9223291.0,9221784.0,95.54494677514792,95.54494677514792,16.883333333333336,51.53333333333333,,20.500000000000004
2022-07-27 07:00:00,1622.0,9224913.0,9223291.0,148.63705819951338,148.63705819951338,17.6,53.70000000000001,77.2,21.96
2022-07-27 08:00:00,1771.0,9226684.0,9224913.0,274.86478154216866,274.86478154216866,18.7375,58.28000000000001,73.2,23.675
2022-07-27 09:00:00,1890.0,9228574.0,9226684.0,167.48219925414364,167.48219925414364,17.22857142857143,54.328571428571436,70.2,22.7625
2022-07-27 10:00:00,2106.0,9230680.0,9228574.0,357.9841560722347,357.9841560722347,18.78888888888889,59.91363636363638,68.2,24.93684210526316
2022-07-27 11:00:00,2305.0,9232985.0,9230680.0,266.01403824719097,266.01403824719097,17.928571428571427,57.98,65.2,24.799999999999997
2022-07-27 12:00:00,2534.0,9235519.0,9232985.0,233.93323740331493,233.93323740331493,17.15,56.0,62.2,24.6
2022-07-27 13:00:00,2613.0,9238132.0,9235519.0,163.55305930348257,163.55305930348257,16.325,54.0,,24.125
2022-07-27 14:00:00,2558.0,9240690.0,9238132.0,190.6563658575198,190.6563658575198,16.1,53.5,,24.049999999999997
2022-07-27 15:00:00,2309.0,9242999.0,9240690.0,180.494896510989,180.494896510989,14.300000000000002,48.212500000000006,60.2,22.16
2022-07-27 16:00:00,1754.0,9244753.0,9242999.0,59.02368320158102,59.02368320158102,11.975000000000001,41.9,62.2,19.64
2022-07-27 17:00:00,1395.0,9246148.0,9244753.0,35.49680179661018,35.49680179661018,11.125,39.06666666666666,65.2,18.175
2022-07-27 18:00:00,1243.0,9247391.0,9246148.0,13.781210714285717,13.781210714285717,12.133333333333333,40.4,69.2,18.0
2022-07-27 19:00:00,1223.0,9248614.0,9247391.0,7.126081666666668,7.126081666666668,13.3,41.9,73.2,18.3
2022-07-27 20:00:00,1182.0,9249796.0,9248614.0,5.50785,5.50785,13.65,42.9,76.2,17.85
2022-07-27 21:00:00,1171.0,9250967.0,9249796.0,5.425565000000001,5.425565000000001,14.1,39.56666666666667,78.2,
2022-07-27 22:00:00,1167.0,9252134.0,9250967.0,5.425565000000001,5.425565000000001,13.8,42.3,80.2,17.2
2022-07-27 23:00:00,1155.0,9253289.0,9252134.0,5.343283333333333,5.343283333333333,14.1,,82.2,16.900000000000002
2022-07-28 00:00:00,1191.0,9254480.0,9253289.0,5.562706666666667,5.562706666666667,13.466666666666667,40.3,,16.15
2022-07-28 01:00:00,1171.0,9255651.0,9254480.0,5.425565000000001,5.425565000000001,13.5,40.3,84.2,16.0
2022-07-28 02:00:00,1154.0,9256805.0,9255651.0,5.398136666666667,5.398136666666667,13.95,41.3,,
2022-07-28 03:00:00,1155.0,9257960.0,9256805.0,5.425565000000001,5.425565000000001,14.65,42.8,86.2,16.6
2022-07-28 04:00:00,1191.0,9259151.0,9257960.0,19.01029162601626,19.01029162601626,14.799999999999999,44.8,,17.450000000000003
2022-07-28 05:00:00,1351.0,9260502.0,9259151.0,65.31833641638225,65.31833641638225,14.857142857142858,44.72,,17.119999999999997
2022-07-28 06:00:00,1694.0,9262196.0,9260502.0,115.04802379661015,115.04802379661015,16.055555555555557,47.9875,,18.6
2022-07-28 07:00:00,1986.0,9264182.0,9262196.0,239.15782024324324,239.15782024324324,17.440000000000005,51.64,84.2,19.9
