"Time","sensor-readings.reading"
1651020426000,22.6
1651021491000,21.6
1651022601000,20.6
1651023261000,19.6
1651024761000,8
1651024776000,19.4
1651025361000,20.4
1651026531000,19.4
1651028241000,20.4
1651028496000,21.4
1651029381000,22.4
1651032036000,23.4
1651033716000,22.4
1651034001000,21.4
1651034901000,22.4
1651035276000,23.4
1651036101000,24.4
1651036281000,25.4
1651038321000,24.4
1651040046000,25.4
1651040511000,24.4
1651040706000,23.4
1651041216000,24.4
1651041906000,25.4
1651042041000,26.4
1651042281000,27.4
1651042611000,26.4
1651042806000,25.3
1651042956000,24.3
1651043496000,25.3
1651043646000,26.3
1651043946000,25.3
1651044411000,26.3
1651044561000,27.3
1651045071000,26.3
1651045191000,25.3
1651045926000,24.3
1651048686000,23.3
1651049196000,24.3
1651050666000,25.3
1651051491000,26.3
1651051971000,27.3
1651053006000,28.3
1651053501000,29.4
1651054191000,30.4
1651054341000,31.4
1651054746000,30.4
1651055526000,31.4
1651056021000,32.5
1651057926000,33.5
1651058616000,32.5
1651058751000,31.5
1651058976000,30.5
1651059171000,31.6
1651059636000,33.6
1651060251000,34.6
1651060986000,33.6
1651061736000,32.6
1651064211000,30.5
1651064376000,29.5
1651064916000,28.5
1651065111000,27.5
1651065816000,26.5
1651066581000,25.5
1651067286000,24.5
1651069686000,23.5
1651076526000,24.5
1651077426000,25.5
1651082406000,24.5
1651084011000,23.5
1651088526000,22.5
1651090312000,21.5
1651095832000,20.5
1651098576000,19.5
1651102656000,20.5
1651104276000,19.5
1651109496000,18.5
1651115226000,17.5
1651115346000,16.5
1651115556000,15.5
1651115976000,16.5
1651117581000,17.5
1651118256000,16.5
1651119921000,17.5
1651120791000,18.5
1651121391000,19.5
1651122846000,20.5
1651123026000,21.6
1651123311000,22.6
1651124001000,23.6
1651124646000,24.6
1651124886000,25.6
1651125846000,26.6
1651126206000,27.6
1651126626000,28.7
1651127286000,29.7
1651128006000,30.7
1651128336000,31.7
1651128771000,32.7
1651129011000,31.7
1651129191000,32.7
1651129281000,33.8
1651129596000,32.8
1651130151000,33.8
1651131216000,32.7
1651132146000,33.7
1651133256000,34.7
1651133436000,35.8
1651133556000,36.8
1651133646000,35.7
1651134081000,36.7
1651134816000,35.7
1651135041000,34.7
1651135701000,33.7
1651136331000,32.7
1651136871000,31.6
1651137411000,33.6
1651137501000,34.6
1651139271000,33.6
1651140111000,34.7
1651140546000,33.7
1651141116000,32.7
1651141626000,31.7
1651141896000,32.7
1651142136000,33.7
1651142541000,32.5
1651143216000,31.4
1651143966000,32.5
1651144071000,33.6
1651144596000,34.6
1651145286000,33.6
1651145466000,32.6
1651146201000,30.6
1651146426000,31.6
1651146516000,32.7
1651146621000,33.9
1651146696000,35.1
1651146756000,36.3
1651146981000,35.3
1651147026000,34.2
1651147101000,33
1651147176000,32
1651147386000,33
1651147836000,32
1651147911000,30.9
1651148376000,31.9
1651149066000,33.1
1651149336000,34.1
1651149426000,33
1651150476000,34
1651150581000,35
1651150761000,34
1651150896000,32.9
1651151241000,31.7
1651151721000,30.7
1651152111000,31.8
1651152246000,32.8
1651153041000,33.9
1651153761000,32.8
1651153836000,31.7
1651154331000,32.7
1651155261000,31.7
1651155831000,30.7
1651156176000,29.7
1651158396000,30.7
1651159266000,29.7
1651159836000,28.7
1651160421000,29.7
1651161006000,28.7
1651161546000,29.8
1651161681000,30.8
1651161936000,29.7
1651163106000,28.7
1651164201000,27.7
1651166991000,26.7
1651168131000,25.7
1651169871000,24.7
1651172751000,23.7
1651175706000,22.7
1651177056000,21.7
1651178601000,20.7
1651178961000,19.7
1651179756000,18.7
1651182966000,17.7
1651184811000,16.7
1651185771000,15.6
1651188592000,14.6
1651206216000,15.6
1651207746000,16.6
1651208601000,17.6
1651209471000,18.6
1651210146000,19.6
1651210326000,20.6
1651210896000,21.6
1651212621000,22.6
1651212996000,23.6
1651213401000,24.6
1651213716000,25.7
1651213851000,26.7
1651214286000,27.7
1651215126000,28.7
1651215336000,29.7
1651215741000,30.7
1651216581000,31.8
1651217616000,30.8
1651217841000,31.9
1651218006000,33.1
1651218261000,34.1
1651219146000,33
1651219356000,32
1651220106000,33.1
1651220211000,34.1
1651220376000,35.1
1651220631000,34
1651220721000,33
1651220931000,34
1651221081000,35
1651221171000,36
1651221336000,34.9
1651221531000,33.8
1651222146000,32.7
1651222296000,31.7
1651222416000,30.7
1651223076000,31.7
1651223166000,32.7
1651223226000,33.8
1651223301000,34.8
1651223571000,33.8
1651223691000,32.5
1651223991000,33.6
1651224081000,34.8
1651224381000,33.8
1651224801000,32.8
1651225011000,33.8
1651225236000,34.8
1651226001000,33.8
1651226751000,34.8
1651227366000,33.8
1651227456000,32.8
1651228056000,33.8
1651228206000,32.7
1651228356000,31.7
1651228746000,32.7
1651228806000,33.7
1651228866000,34.9
1651228926000,36
1651229001000,37.1
1651229211000,36.1
1651229526000,34.9
1651229616000,33.8
1651229736000,32.8
1651229841000,33.8
1651229916000,34.8
1651229991000,35.9
1651230051000,37
1651230096000,38
1651230291000,36.9
1651230336000,35.9
1651230366000,34.8
1651230411000,33.7
1651230471000,32.7
1651230771000,33.8
1651230846000,34.9
1651230936000,35.9
1651231116000,34.9
1651231326000,35.9
1651231611000,34.8
1651232586000,35.8
1651232841000,34.8
1651233381000,35.8
1651233456000,36.8
1651233606000,35.8
1651233711000,34.8
1651234206000,36
1651234416000,37
1651234716000,36
1651234896000,34.8
1651234986000,33.8
1651235391000,32.7
1651236066000,33.7
1651236771000,32.6
1651238556000,33.7
1651238661000,34.7
1651238751000,35.8
1651238946000,36.9
1651239201000,38
1651239366000,39
1651239441000,37.8
1651239606000,36.8
1651239681000,35.7
1651239756000,34.5
1651239816000,33.5
1651240371000,32.5
1651240731000,33.7
1651240836000,34.7
1651240986000,35.7
1651241136000,34.7
1651241481000,35.7
1651241601000,36.7
1651241706000,37.7
1651241946000,36.7
1651242066000,35.7
1651242231000,34.7
1651242981000,33.6
1651243071000,32.6
1651243146000,31.5
1651243716000,30.5
1651243941000,31.5
1651244031000,32.6
1651244106000,33.6
1651244556000,34.6
1651244691000,35.6
1651244856000,34.6
1651244946000,33.6
1651245876000,32.6
1651246701000,30.6
1651247016000,31.6
1651247601000,33.7
1651247811000,32.7
1651248501000,31.7
1651248996000,30.7
1651250991000,29.7
1651251171000,28.7
1651252026000,27.7
1651253076000,26.7
1651254486000,25.7
1651255701000,24.7
1651257831000,23.7
1651261176000,22.7
1651262977000,21.7
1651263981000,20.7
1651265226000,19.7
1651267401000,18.7
1651272156000,17.7
1651278892000,16.7
1651285401000,15.6
1651293696000,16.6
1651293861000,17.6
1651295076000,18.6
1651295961000,19.6
1651296186000,20.6
1651297596000,21.6
1651297971000,22.6
1651298211000,23.6
1651299021000,24.6
1651299261000,25.6
1651299591000,26.7
1651299696000,27.8
1651299786000,28.8
1651300191000,29.8
1651300371000,30.8
1651300536000,31.9
1651300896000,33
1651301466000,32
1651301961000,31
1651302246000,32
1651302366000,33
1651303266000,34
1651303431000,32.9
1651304286000,33.9
1651304781000,34.9
1651305876000,33.9
