"Time","sensor-readings.reading"
1651802400000,6567793
1651806000000,6568776
1651809600000,6569799
1651813200000,6570866
1651816800000,6571961
1651820400000,6573148
1651824000000,6574383
1651827600000,6576005
1651831200000,6577759
1651834800000,6579210
1651838400000,6580832
1651842000000,6582275
1651845600000,6583625
1651849200000,6584864
1651852800000,6586019
1651856400000,6587102
1651860000000,6588125
1651863600000,6589148
1651867200000,6590147
1651870800000,6591142
1651874400000,6592113
1651878000000,6593092
1651881600000,6594055
1651885200000,6595026
1651888800000,6595973
1651892400000,6596956
1651896000000,6597939
1651899600000,6598898
1651903200000,6599865
1651906800000,6600836
1651910400000,6601787
1651914000000,6602782
1651917600000,6603737
1651921200000,6604696
1651924800000,6605691
1651928400000,6606666
1651932000000,6607641
1651935600000,6608604
1651939200000,6609579
1651942800000,6610542
1651946400000,6611517
1651950000000,6612476
1651953600000,6613439
1651957200000,6614359
1651960800000,6615306
1651964400000,6616273
1651968000000,6617220
1651971600000,6618167
1651975200000,6619134
1651978800000,6620089
1651982400000,6621048
1651986000000,6621987
1651989600000,6622910
1651993200000,6623841
1651996800000,6624796
1652000400000,6625747
1652004000000,6626690
1652007600000,6627645
1652011200000,6628588
1652014800000,6629583
1652018400000,6630542
1652022000000,6631489
1652025600000,6632448
1652029200000,6633403
1652032800000,6634355
1652036400000,6635302
1652040000000,6636241
1652043600000,6637160
1652047200000,6638095
1652050800000,6639034
1652054400000,6639941
1652058000000,6640860
1652061600000,6641795
1652065200000,6642722
1652068800000,6643701
1652072400000,6644908
1652076000000,6646131
1652079600000,6647585
1652083200000,6649240
1652086800000,6651206
1652090400000,6653280
1652094000000,6655146
1652097600000,6656908
1652101200000,6658718
1652104800000,6660540
1652108400000,6662466
1652112000000,6663817
1652115600000,6665032
1652119200000,6666179
1652122800000,6667246
1652126400000,6668309
1652130000000,6669331
1652133600000,6670374
1652137200000,6671389
1652140800000,6672408
1652144400000,6673403
1652148000000,6674430
1652151600000,6675425
1652155200000,6676492
1652158800000,6677707
1652162400000,6678902
1652166000000,6680273
1652169600000,6681987
1652173200000,6683853
1652176800000,6685839
1652180400000,6687877
1652184000000,6689955
1652187600000,6692057
1652191200000,6694171
1652194800000,6695889
1652198400000,6697108
1652202000000,6698306
1652205600000,6699437
1652209200000,6700524
1652212800000,6701575
1652216400000,6702602
1652220000000,6703601
1652223600000,6704608
1652227200000,6705611
1652230800000,6706574
1652234400000,6707533
1652238000000,6708516
1652241600000,6709523
1652245200000,6710830
1652248800000,6712221
1652259600000,6716884
1652263200000,6718802
1652266800000,6720872
1652270400000,6723082
1652274000000,6725507
1652277600000,6727609
1652281200000,6729395
1652284800000,6730586
1652288400000,6731917
1652292000000,6733124
1652295600000,6734286
1652299200000,6735341
1652302800000,6736328
1652306400000,6737343
1652310000000,6738330
1652313600000,6739341
1652317200000,6740344
1652320800000,6741351
1652324400000,6742358
1652328000000,6743349
1652331600000,6744348
1652335200000,6745447
1652338800000,6746866
1652342400000,6748752
1652346000000,6750770
1652349600000,6752988
1652353200000,6755397
1652356800000,6757787
1652360400000,6760117
1652364000000,6762310
1652367600000,6764117
1652371200000,6765739
1652374800000,6767170
1652378400000,6768508
1652382000000,6769739
1652385600000,6770938
1652389200000,6772029
1652392800000,6773104
1652396400000,6774151
1652400000000,6775186
1652403600000,6776236
1652407200000,6777283
1652410800000,6778318
1652414400000,6779381
1652418000000,6780664
1652421600000,6782238
1652425200000,6784025
1652428800000,6786007
1652432400000,6788141
1652436000000,6790147
1652439600000,6792193
1652443200000,6794023
1652446800000,6795673
1652450400000,6797235
1652454000000,6798538
1652457600000,6799789
1652461200000,6800956
1652464800000,6802055
1652468400000,6803130
1652472000000,6804216
1652475600000,6805263
1652479200000,6806234
1652482800000,6807213
1652486400000,6808188
1652490000000,6809148
1652493600000,6810103
1652497200000,6811058
1652500800000,6812005
1652504400000,6812940
1652508000000,6813879
1652511600000,6814798
1652515200000,6815785
1652518800000,6816824
1652522400000,6817871
1652526000000,6818914
1652529600000,6819949
1652533200000,6821040
1652536800000,6822135
1652540400000,6823261
1652544000000,6824408
1652547600000,6825547
1652551200000,6826662
1652554800000,6827717
1652558400000,6828760
1652562000000,6829791
1652565600000,6830818
1652569200000,6831821
1652572800000,6832840
1652576400000,6833819
1652580000000,6834758
1652583600000,6835697
1652587200000,6836620
1652590800000,6837535
1652594400000,6838454
1652598000000,6839409
1652601600000,6840428
1652605200000,6841487
1652608800000,6842594
1652612400000,6843681
1652616000000,6844816
1652619600000,6845991
1652623200000,6847134
1652626800000,6848340
1652630400000,6849503
1652634000000,6850654
1652637600000,6851809
1652641200000,6852944
1652644800000,6853975
1652648400000,6854994
1652652000000,6856021
1652655600000,6857020
1652659200000,6858043
1652662800000,6859042
1652666400000,6860005
1652670000000,6860956
1652673600000,6861943
1652677200000,6863074
1652680800000,6864452
1652684400000,6866250
1652688000000,6868292
1652691600000,6870546
1652695200000,6872876
1652698800000,6875169
1652702400000,6877611
1652706000000,6879825
1652709600000,6881779
1652713200000,6883489
1652716800000,6884880
1652720400000,6886258
1652724000000,6887537
1652727600000,6888764
1652731200000,6889939
1652734800000,6891086
1652738400000,6892208
1652742000000,6893343
1652745600000,6894502
1652749200000,6895641
1652752800000,6896776
1652756400000,6897923
1652760000000,6899066
1652763600000,6900324
1652767200000,6901595
1652770800000,6903389
1652774400000,6905479
1652778000000,6907569
1652781600000,6909643
1652785200000,6911753
1652788800000,6914003
1652792400000,6916436
1652796000000,6918630
1652799600000,6920364
1652803200000,6922019
1652806800000,6923569
1652810400000,6924856
1652814000000,6926114
1652817600000,6927225
1652821200000,6928312
1652824800000,6929375
1652828400000,6930430
1652832000000,6931521
1652835600000,6932584
1652839200000,6933599
1652842800000,6934606
1652846400000,6935629
1652850000000,6936852
1652853600000,6938362
1652857200000,6940256
1652860800000,6942490
1652864400000,6944736
1652868000000,6947113
1652871600000,6949719
1652875200000,6952288
1652878800000,6954594
1652882400000,6956856
1652886000000,6958850
1652889600000,6960520
1652893200000,6961951
1652896800000,6963105
1652900400000,6964196
1652904000000,6965271
1652907600000,6966270
1652911200000,6967249
1652914800000,6968228
1652918400000,6969219
1652922000000,6970174
1652925600000,6971153
1652929200000,6972116
1652932800000,6973099
1652936400000,6974230
1652940000000,6975821
1652943600000,6977747
1652947200000,6979973
1652950800000,6982058
1652954400000,6984148
1652958000000,6986058
1652961600000,6988124
1652965200000,6990390
1652968800000,6992396
1652972400000,6993823
1652976000000,6995205
1652979600000,6996624
1652983200000,6997919
1652986800000,6999105
1652990400000,7000244
1652994000000,7001327
1652997600000,7002390
1653001200000,7003437
1653004800000,7004520
1653008400000,7005539
1653012000000,7006530
1653015600000,7007549
1653019200000,7008548
1653022800000,7009723
1653026400000,7011197
1653030000000,7013139
1653033600000,7015109
1653037200000,7017219
1653040800000,7019401
1653044400000,7021503
1653048000000,7023173
1653051600000,7024576
1653055200000,7026066
1653058800000,7027557
1653062400000,7028983
1653066000000,7030366
1653069600000,7031677
1653073200000,7032928
1653076800000,7034102
1653080400000,7035185
1653084000000,7036228
1653087600000,7037259
1653091200000,7038290
1653094800000,7039361
1653098400000,7040400
1653102000000,7041431
1653105600000,7042430
1653109200000,7043417
1653112800000,7044400
1653116400000,7045379
1653120000000,7046410
1653123600000,7047441
1653127200000,7048460
1653130800000,7049539
1653134400000,7050718
1653138000000,7051941
1653141600000,7053087
1653145200000,7054262
1653148800000,7055389
1653152400000,7056544
1653156000000,7057659
1653159600000,7058758
1653163200000,7059825
1653166800000,7060824
1653170400000,7061827
1653174000000,7062826
1653177600000,7063837
1653181200000,7064836
1653184800000,7065779
1653188400000,7066726
1653192000000,7067629
1653195600000,7068536
1653199200000,7069491
1653202800000,7070446
1653206400000,7071421
1653210000000,7072420
1653213600000,7073419
1653217200000,7074414
1653220800000,7075397
1653224400000,7076412
1653228000000,7077431
1653231600000,7078474
1653235200000,7079533
1653238800000,7080596
1653242400000,7081639
1653246000000,7082666
1653249600000,7083661
1653253200000,7084656
1653256800000,7085639
1653260400000,7086638
1653264000000,7087621
1653267600000,7088616
1653271200000,7089607
1653274800000,7090582
1653278400000,7091569
1653282000000,7092656
1653285600000,7093942
1653289200000,7095609
1653292800000,7097411
1653296400000,7099313
1653300000000,7100983
1653303600000,7102662
1653307200000,7104408
1653310800000,7106614
1653314400000,7108812
1653318000000,7110530
1653321600000,7112160
1653325200000,7113491
1653328800000,7114682
1653332400000,7115809
1653336000000,7116891
1653339600000,7117930
1653343200000,7118941
1653346800000,7119956
1653350400000,7120987
1653354000000,7121998
1653357600000,7122997
1653361200000,7123988
1653364800000,7124999
1653368400000,7126134
1653372000000,7127485
1653375600000,7129351
1653379200000,7131513
1653382800000,7133643
1653386400000,7135745
1653390000000,7138014
1653393600000,7140660
1653397200000,7142945
1653400800000,7145087
1653404400000,7146961
1653408000000,7148584
1653411600000,7150310
1653415200000,7151793
1653418800000,7153127
1653422400000,7154402
1653426000000,7155689
1653429600000,7156939
1653433200000,7158202
1653436800000,7159461
1653440400000,7160696
1653444000000,7161938
1653447600000,7163149
1653451200000,7164348
1653454800000,7165687
1653458400000,7167225
1653462000000,7169187
1653465600000,7171297
1653469200000,7173295
1653472800000,7175205
1653476400000,7177623
1653480000000,7179992
1653483600000,7182290
1653487200000,7184300
1653490800000,7186042
1653494400000,7187629
1653498000000,7188792
1653501600000,7189846
1653505200000,7190873
1653508800000,7191864
1653512400000,7192819
1653516000000,7193799
1653519600000,7194770
1653523200000,7195741
1653526800000,7196692
1653530400000,7197623
1653534000000,7198574
1653537600000,7199517
1653541200000,7200444
1653544800000,7201399
1653548400000,7202330
1653552000000,7203297
1653555600000,7204272
1653559200000,7205283
1653562800000,7206314
1653566400000,7207317
1653570000000,7208340
1653573600000,7209367
1653577200000,7210406
1653580800000,7211461
1653584400000,7212492
1653588000000,7213535
1653591600000,7214546
1653595200000,7215549
1653598800000,7216560
1653602400000,7217555
1653606000000,7218518
1653609600000,7219473
1653613200000,7220404
1653616800000,7221323
1653620400000,7222238
1653624000000,7223205
1653627600000,7224272
1653631200000,7225399
1653634800000,7226662
1653638400000,7227988
1653642000000,7229263
1653645600000,7230506
1653649200000,7231812
1653652800000,7233319
1653656400000,7234758
1653660000000,7236196
1653663600000,7237643
1653667200000,7238993
1653670800000,7240304
1653674400000,7241539
1653678000000,7242765
1653681600000,7243960
1653685200000,7245023
1653688800000,7246058
1653692400000,7247061
1653696000000,7248120
1653699600000,7249131
1653703200000,7250162
1653706800000,7251133
1653710400000,7252104
1653714000000,7253035
1653717600000,7253970
1653721200000,7254881
1653724800000,7255812
1653728400000,7256783
1653732000000,7257742
1653735600000,7258682
1653739200000,7259641
1653742800000,7260600
1653746400000,7261559
1653750000000,7262498
1653753600000,7263461
1653757200000,7264408
1653760800000,7265343
1653764400000,7266278
1653768000000,7267237
1653771600000,7268180
1653775200000,7269131
1653778800000,7270110
1653782400000,7271049
1653786000000,7271988
1653789600000,7272911
1653793200000,7273846
1653796800000,7274781
1653800400000,7275697
1653804000000,7276608
1653807600000,7277519
1653811200000,7278458
1653814800000,7279401
1653818400000,7280352
1653822000000,7281295
1653825600000,7282246
1653829200000,7283201
1653832800000,7284168
1653836400000,7285147
1653840000000,7286142
1653843600000,7287105
1653847200000,7288068
1653850800000,7289019
1653854400000,7289966
1653858000000,7290921
1653861600000,7291892
1653865200000,7292839
1653868800000,7293778
1653872400000,7294713
1653876000000,7295657
1653879600000,7296624
1653883200000,7297591
1653886800000,7298662
1653890400000,7299852
1653894000000,7300935
1653897600000,7302038
1653901200000,7303429
1653904800000,7304727
1653908400000,7306038
1653912000000,7307425
1653915600000,7308847
1653919200000,7310254
1653922800000,7311373
1653926400000,7312388
1653930000000,7313539
1653933600000,7314582
1653937200000,7315585
1653940800000,7316568
1653944400000,7317527
1653948000000,7318482
1653951600000,7319461
1653955200000,7320420
1653958800000,7321375
1653962400000,7322342
